,LGA,State,Age_Group,ASFR,population
1,Aba North,Abia,15_19,0.041622119,42838.49219
2,Abadam,Borno,15_19,0.196231554,4245.392372
3,Abaji,Federal Capital Territory,15_19,0.120914187,10140.89789
4,Abak,Akwa Ibom,15_19,0.058821404,16599.67773
5,Abakalik,Ebonyi,15_19,0.073952915,15978.57739
6,Abeokuta South,Ogun,15_19,0.056233279,14756.3291
7,AbeokutaNorth,Ogun,15_19,0.055944562,16799.79828
8,Abi,Cross River,15_19,0.091065474,11761.10522
9,Aboh-Mba,Imo,15_19,0.069485054,5846.520508
10,Abua/Odu,Rivers,15_19,0.031467291,22363.15759
11,AbujaMun,Federal Capital Territory,15_19,0.049159314,115703.6729
12,Adavi,Kogi,15_19,0.049123777,9113.594116
13,Ado,Benue,15_19,0.112040688,13483.10645
14,Ado-Ekiti,Ekiti,15_19,0.085837512,33651.74341
15,AdoOdo/Ota,Ogun,15_19,0.021995961,31849.28125
16,Afijio,Oyo,15_19,0.060087759,12947.79877
17,Afikpo,Ebonyi,15_19,0.070075675,14446.41357
18,AfikpoSo,Ebonyi,15_19,0.094119614,13173.96313
19,Agaie,Niger,15_19,0.139393127,10484.8472
20,Agatu,Benue,15_19,0.133054522,9386.535309
21,Aguata,Anambra,15_19,0.057319673,37759.63867
22,Agwara,Niger,15_19,0.086352924,4935.104904
23,Ahizu-Mb,Imo,15_19,0.057448237,14458.28125
24,Ahoada East,Rivers,15_19,0.047600833,15069.31812
25,Ahoada West,Rivers,15_19,0.025715546,22777.05762
26,Ajaokuta,Kogi,15_19,0.052259757,9820.671783
27,Ajingi,Kano,15_19,0.160333633,11209.48163
28,Akamkpa,Cross River,15_19,0.160555791,15185.71355
29,Akinyele,Oyo,15_19,0.059222805,11245.77057
30,Akko,Gombe,15_19,0.119975574,37416.56364
31,Akoko-Ed,Edo,15_19,0.0659055,25393.04419
32,Akoko North-East,Ondo,15_19,0.077198126,19892.15552
33,Akoko South-East,Ondo,15_19,0.079606426,6042.687927
34,Akoko South-West,Ondo,15_19,0.098117634,19513.23999
35,AkokoNorthWest,Ondo,15_19,0.074114383,17771.10101
36,Akpabuyo,Cross River,15_19,0.069219403,25592.92508
37,Akukutor,Rivers,15_19,0.056455463,9360.565552
38,Akure North,Ondo,15_19,0.024541175,24698.29623
